"","X","n_genes","n_counts","percent_mito","log10_n_counts","log_n_counts","norm_log_counts","log10_usable_counts","log_usable_counts","leiden","subtype"
"1","X1_AGAH468_T2D_Male_5",3315,168001,0,5.2253118,12.031726,7.343505,4.4145555,10.164889,1,"beta2"
"2","X2_AGAL381_T2D_Female_5",5671,381209,0,5.581163,12.851103,7.887977,5.006868,11.52874,1,"beta2"
"3","X3_AGAL381_T2D_Female_5",4084,508067,0,5.705921,13.138369,7.474837,4.9522014,11.402865,1,"beta2"
"4","X4_AGAL381_T2D_Female_5",6105,882075,0,5.9455056,13.690032,7.6475163,5.2667794,12.127209,1,"beta2"
"5","X5_AGAL381_T2D_Female_5",4178,286314,0,5.4568424,12.564844,7.9367766,4.903741,11.291281,1,"beta2"
"6","X6_AGAL381_T2D_Female_5",4302,473784,0,5.6755805,13.068506,7.7965536,5.0615807,11.65472,1,"beta2"
"7","X7_AGAL381_T2D_Female_5",3193,393795,0,5.59527,12.883585,8.119189,5.121389,11.792435,1,"beta2"
"8","X8_AGAL381_T2D_Female_5",9321,152379,0,5.182925,11.934127,7.9289927,4.626443,10.652779,1,"beta2"
"9","X9_AGAL381_T2D_Female_5",6004,768879,0,5.885858,13.552689,6.6906686,4.7915783,11.033017,1,"beta2"
"10","X10_AGJU173_T2D_Female_10",7359,2126012,0,6.3275657,14.569759,7.7809896,5.7068067,13.140408,0,"beta1"
"11","X11_AGJU173_T2D_Female_5",5455,2269160,0,6.355865,14.634921,6.769056,5.2956285,12.193636,1,"beta2"
"12","X12_AGJU173_T2D_Female_5",6039,1440245,0,6.1584363,14.180324,7.141471,5.259938,12.111455,1,"beta2"
"13","X13_AGJU173_T2D_Female_5",6844,1783614,0,6.251301,14.394153,6.9999743,5.2913513,12.183786,1,"beta2"
"14","X14_AGJU173_T2D_Female_5",7500,1785880,0,6.251852,14.395422,6.92174,5.2579255,12.106822,1,"beta2"
"15","X15_AGJU173_T2D_Female_5",3487,439055,0,5.642519,12.992379,6.294308,4.3761024,10.076347,1,"beta2"
"16","X16_AGJU173_T2D_Female_5",6068,640446,0,5.8064823,13.36992,7.360639,5.0031676,11.52022,1,"beta2"
"17","X17_AGJU173_T2D_Female_5",6220,1457083,0,6.163484,14.191947,7.453556,5.400522,12.435163,1,"beta2"
"18","X18_AGJU173_T2D_Female_10",6802,2313233,0,6.364219,14.654158,7.048611,5.425392,12.492428,0,"beta1"
"19","X19_AGJU173_T2D_Female_5",7158,1189630,0,6.075412,13.989153,7.5412,5.3505135,12.320013,0,"beta1"
"20","X20_H2280_ND_Female_1",8419,250016,0,5.397968,12.42928,7.81178,4.7905807,11.03072,0,"beta1"
"21","X21_R230_ND_Male_10",6174,2078953,0,6.317845,14.547376,7.010529,5.3624787,12.347564,1,"beta2"
"22","X22_R230_ND_Male_10",5921,1363657,0,6.134705,14.125681,7.8045855,5.524194,12.719926,0,"beta1"
"23","X23_R230_ND_Male_5",5246,874764,0,5.9418907,13.681709,6.9124837,4.9439445,11.383853,1,"beta2"
"24","X24_R230_ND_Male_1",3842,922182,0,5.9648166,13.734498,8.191888,5.522508,12.716045,0,"beta1"
"25","X25_R230_ND_Male_5",6882,1645251,0,6.2162323,14.313404,7.5983243,5.5161424,12.701387,1,"beta2"
"26","X26_R230_ND_Male_10",8598,1717256,0,6.234835,14.356238,7.637145,5.5516047,12.783043,1,"beta2"
"27","X27_R231_T2D_Female_1",2374,1544186,0,6.1886997,14.250008,7.069333,5.258872,12.109,1,"beta2"
"28","X28_R231_T2D_Female_1",9372,1511650,0,6.1794515,14.228713,7.35819,5.3750725,12.376562,1,"beta2"
"29","X29_R231_T2D_Female_1",6066,1561139,0,6.1934414,14.260927,7.564323,5.4785852,12.614909,1,"beta2"
"30","X30_R231_T2D_Female_10",7410,1492543,0,6.173927,14.215993,7.133362,5.271907,12.139013,1,"beta2"
"31","X31_R231_T2D_Female_1",4844,868420,0,5.93873,13.674431,7.793246,5.323293,12.257336,1,"beta2"
"32","X32_R231_T2D_Female_10",5197,1188255,0,6.0749097,13.987996,6.98109,5.1067586,11.758746,1,"beta2"
"33","X33_R231_T2D_Female_10",9115,1666499,0,6.221805,14.326236,7.5024724,5.4800873,12.618368,1,"beta2"
"34","X34_R231_T2D_Female_1",3757,552329,0,5.742198,13.221899,7.889706,5.1686535,11.901265,1,"beta2"
"35","X35_R231_T2D_Female_10",8063,1516179,0,6.1807504,14.231705,7.448899,5.4157662,12.470263,1,"beta2"
"36","X36_R231_T2D_Female_10",5335,1036851,0,6.0157166,13.851699,7.543659,5.291886,12.185018,1,"beta2"
"37","X37_R231_T2D_Female_5",5109,329378,0,5.5176945,12.704962,7.212593,4.650084,10.707213,1,"beta2"
"38","X38_R231_T2D_Female_10",6250,2170667,0,6.336593,14.590546,5.4998593,4.725152,10.880064,0,"beta1"
"39","X39_R231_T2D_Female_10",5279,1730149,0,6.2380834,14.363719,7.056866,5.3028417,12.210244,1,"beta2"
"40","X40_R233_ND_Female_5",6139,725936,0,5.8608985,13.495216,7.414976,5.0811815,11.699854,0,"beta1"
"41","X41_R233_ND_Female_1",3599,278622,0,5.4450154,12.537611,7.6742454,4.777898,11.001516,0,"beta1"
"42","X42_R233_ND_Female_10",6195,863415,0,5.9362197,13.668651,7.6824822,5.2726793,12.140793,0,"beta1"
"43","X43_R233_ND_Female_5",4045,641292,0,5.807056,13.37124,5.8015637,4.326643,9.962463,0,"beta1"
"44","X44_R233_ND_Female_1",5115,580689,0,5.7639437,13.27197,7.2652907,4.9192195,11.326921,0,"beta1"
"45","X45_R233_ND_Female_10",5262,558174,0,5.7467694,13.232426,7.4852843,4.997587,11.507371,0,"beta1"
"46","X46_R233_ND_Female_1",7053,611961,0,5.7867236,13.324424,7.3309593,4.970519,11.445044,1,"beta2"
"47","X47_R233_ND_Female_1",5074,714769,0,5.8541656,13.479714,7.3684645,5.0542493,11.637839,0,"beta1"
"48","X48_R233_ND_Female_10",5151,522567,0,5.718142,13.166508,7.466296,4.9607134,11.422464,0,"beta1"
"49","X49_R233_ND_Female_10",5428,686494,0,5.8366365,13.439352,7.1659627,4.948775,11.394975,0,"beta1"
"50","X50_R233_ND_Female_10",6637,788460,0,5.8967795,13.577837,7.360774,5.093523,11.7282715,0,"beta1"
"51","X51_R233_ND_Female_10",4279,385270,0,5.5857654,12.861699,7.354533,4.7797985,11.005893,0,"beta1"
"52","X52_R233_ND_Female_1",6686,769434,0,5.8861713,13.553411,6.0267897,4.503573,10.369859,0,"beta1"
"53","X53_R233_ND_Female_10",7119,778381,0,5.8911924,13.564972,7.3752832,5.094237,11.729915,0,"beta1"
"54","X54_R233_ND_Female_5",2866,498168,0,5.697376,13.118692,7.401624,4.9118605,11.309977,1,"beta2"
"55","X55_R233_ND_Female_1",4557,638254,0,5.8049936,13.366491,7.248164,4.9528313,11.404315,0,"beta1"
"56","X56_R233_ND_Female_10",4411,405863,0,5.6083794,12.913771,7.092854,4.688767,10.796285,0,"beta1"
"57","X57_R233_ND_Female_5",7776,708760,0,5.850499,13.4712715,6.624278,4.7273865,10.88521,1,"beta2"
"58","X58_R233_ND_Female_1",7181,694647,0,5.841764,13.451159,6.935108,4.8536434,11.175927,0,"beta1"
"59","X59_R233_ND_Female_5",7736,727576,0,5.8618784,13.497474,7.113541,4.95125,11.400675,0,"beta1"
"60","X60_R234_ND_Female_10",5005,498637,0,5.6977844,13.119634,7.02401,4.7482734,10.933304,0,"beta1"
"61","X61_R234_ND_Female_10",5407,881707,0,5.9453244,13.689615,7.4330444,5.1734543,11.912319,0,"beta1"
"62","X62_R234_ND_Female_10",4584,355093,0,5.550342,12.780135,7.628283,4.863263,11.198078,0,"beta1"
"63","X63_R234_ND_Female_10",5751,739397,0,5.868878,13.51359,7.278166,5.029745,11.581416,0,"beta1"
"64","X64_R234_ND_Female_10",6978,613765,0,5.788002,13.327367,7.051392,4.850383,11.168419,0,"beta1"
"65","X65_R234_ND_Female_10",3867,728273,0,5.862294,13.498431,7.3242,5.043154,11.612291,1,"beta2"
"66","X66_R234_ND_Female_5",4356,571113,0,5.756722,13.255342,7.0398293,4.814081,11.084831,0,"beta1"
"67","X67_R234_ND_Female_1",3407,629805,0,5.7992063,13.353165,7.2023087,4.927129,11.345134,1,"beta2"
"68","X68_R234_ND_Female_5",7696,957953,0,5.981344,13.772554,6.8022814,4.9355373,11.364495,0,"beta1"
"69","X69_R234_ND_Female_10",7519,552163,0,5.7420673,13.221598,7.115225,4.8321705,11.126483,1,"beta2"
"70","X70_R234_ND_Female_1",5941,1062782,0,6.026444,13.876401,7.119941,5.1185956,11.786002,1,"beta2"
"71","X71_R234_ND_Female_5",4297,696896,0,5.843168,13.4543915,7.3555384,5.0376377,11.599589,1,"beta2"
"72","X72_R235_ND_Female_5",5594,370613,0,5.5689206,12.822914,7.1058807,4.6549654,10.718453,0,"beta1"
"73","X73_R235_ND_Female_10",2623,236203,0,5.3732853,12.372447,6.749944,4.304749,9.912051,1,"beta2"
"74","X74_R235_ND_Female_10",4450,535659,0,5.7288885,13.191253,7.5896683,5.0250397,11.570581,0,"beta1"
"75","X75_R235_ND_Female_1",4866,367320,0,5.5650444,12.813989,6.921759,4.5711265,10.525407,1,"beta2"
"76","X76_R235_ND_Female_5",4749,236868,0,5.3745065,12.375258,6.682581,4.2767143,9.847499,0,"beta1"
"77","X77_R235_ND_Female_10",5265,422181,0,5.625499,12.953189,7.313218,4.801589,11.056067,1,"beta2"
"78","X78_R235_ND_Female_10",6535,287115,0,5.458056,12.567638,7.226049,4.596289,10.583346,0,"beta1"
"79","X79_R235_ND_Female_1",4950,471041,0,5.6730585,13.0627,6.6560173,4.5637302,10.508377,1,"beta2"
"80","X80_R235_ND_Female_10",3816,288289,0,5.459828,12.571719,6.617356,4.3337092,9.978734,1,"beta2"
"81","X81_R235_ND_Female_10",4371,209818,0,5.3218427,12.253996,7.212002,4.453975,10.255657,1,"beta2"
"82","X82_R235_ND_Female_10",3957,230714,0,5.363074,12.348934,6.833393,4.330779,9.971987,1,"beta2"
"83","X83_R235_ND_Female_10",3329,429190,0,5.6326494,12.969654,7.4181943,4.8543305,11.177508,0,"beta1"
"84","X84_R235_ND_Female_1",4560,464892,0,5.667352,13.04956,6.749055,4.598429,10.588274,1,"beta2"
"85","X85_R235_ND_Female_10",5242,594304,0,5.7740088,13.295146,7.4062114,4.990485,11.491017,0,"beta1"
"86","X86_R235_ND_Female_10",5508,541890,0,5.733911,13.202818,6.8079343,4.6905594,10.800412,1,"beta2"
"87","X87_R235_ND_Female_10",5210,272442,0,5.435274,12.515181,7.3986735,4.648477,10.703514,0,"beta1"
"88","X88_R235_ND_Female_10",4679,358904,0,5.5549784,12.790811,7.0084853,4.598725,10.588955,0,"beta1"
"89","X89_R235_ND_Female_1",5537,459169,0,5.6619725,13.037173,7.3838243,4.8687267,11.210657,0,"beta1"
"90","X90_R235_ND_Female_10",4316,216573,0,5.335604,12.285683,6.8019037,4.2896338,9.877246,1,"beta2"
"91","X91_R235_ND_Female_10",3393,234765,0,5.370633,12.366341,7.0976515,4.453104,10.253651,0,"beta1"
"92","X92_R235_ND_Female_10",5420,456271,0,5.659223,13.030842,7.065214,4.7276063,10.8857155,0,"beta1"
"93","X93_R235_ND_Female_1",4341,312100,0,5.4942937,12.651079,6.9138885,4.4969573,10.354627,1,"beta2"
"94","X94_R235_ND_Female_10",4425,487662,0,5.688119,13.097378,7.252895,4.8380113,11.139933,0,"beta1"
"95","X95_R235_ND_Female_10",4267,389330,0,5.5903177,12.872182,7.1437964,4.692829,10.805639,1,"beta2"
"96","X96_R235_ND_Female_1",5365,454776,0,5.6577973,13.02756,6.918133,4.6623044,10.7353525,1,"beta2"
"97","X97_R235_ND_Female_10",5256,325900,0,5.5130844,12.694345,7.0462756,4.573243,10.530281,1,"beta2"
"98","X98_R235_ND_Female_10",5215,502500,0,5.701136,13.127351,7.017631,4.7488546,10.934642,1,"beta2"
"99","X99_R235_ND_Female_10",4661,441475,0,5.644906,12.997876,6.6229496,4.5212164,10.410485,1,"beta2"
"100","X100_R235_ND_Female_10",4753,369312,0,5.5673933,12.819397,6.6290445,4.4463506,10.2381,1,"beta2"
"101","X101_R235_ND_Female_1",5303,344250,0,5.536874,12.749124,6.9471436,4.55398,10.485927,1,"beta2"
"102","X102_R235_ND_Female_1",4510,530372,0,5.724581,13.181334,6.441628,4.5221443,10.4126215,1,"beta2"
"103","X103_R235_ND_Female_5",2953,393793,0,5.5952682,12.88358,7.34171,4.783732,11.014951,1,"beta2"
"104","X104_R237_ND_Male_1",6715,885256,0,5.9470687,13.693632,7.16728,5.059779,11.650573,0,"beta1"
"105","X105_R237_ND_Male_10",7262,641575,0,5.8072476,13.371681,7.5240493,5.0749006,11.68539,0,"beta1"
"106","X106_R237_ND_Male_1",3476,361122,0,5.557654,12.796971,7.7015624,4.9024,11.288193,0,"beta1"
"107","X107_R237_ND_Male_10",5902,804867,0,5.905724,13.598433,7.043005,4.9644623,11.431097,0,"beta1"
"108","X108_R237_ND_Male_1",5489,657129,0,5.817651,13.395636,7.473547,5.0633707,11.658843,0,"beta1"
"109","X109_R237_ND_Male_10",8396,649367,0,5.81249,13.383753,7.32257,4.992642,11.495983,0,"beta1"
"110","X110_R237_ND_Male_5",5944,554589,0,5.7439713,13.225982,7.2917833,4.9107523,11.3074255,0,"beta1"
"111","X111_R237_ND_Male_1",6208,762564,0,5.8822765,13.544442,7.2202444,5.0179887,11.554346,1,"beta2"
"112","X112_R237_ND_Male_10",5726,781459,0,5.892906,13.568918,7.335285,5.07858,11.693863,0,"beta1"
"113","X113_R237_ND_Male_10",6294,967562,0,5.9856787,13.782535,7.5320616,5.2568116,12.104257,0,"beta1"
"114","X114_R239_ND_Female_10",7813,683470,0,5.8347197,13.4349375,7.0927873,4.9150777,11.317385,0,"beta1"
"115","X115_R239_ND_Female_10",7246,476926,0,5.678451,13.075116,7.093546,4.759139,10.958323,0,"beta1"
"116","X116_R239_ND_Female_5",5721,210332,0,5.3229055,12.256442,7.333899,4.5079775,10.380001,0,"beta1"
"117","X117_R239_ND_Female_10",5231,455209,0,5.6582108,13.028511,6.790762,4.6074014,10.608933,0,"beta1"
"118","X118_R239_ND_Female_10",5728,416091,0,5.6191883,12.938659,7.06166,4.686028,10.789979,1,"beta2"
"119","X119_R239_ND_Female_5",5016,700153,0,5.845193,13.459054,6.81683,4.8057046,11.065544,0,"beta1"
"120","X120_R239_ND_Female_10",6452,755372,0,5.878161,13.5349655,7.045665,4.938054,11.37029,0,"beta1"
"121","X121_R239_ND_Female_1",4813,360489,0,5.556892,12.795217,7.120478,4.6492763,10.705354,0,"beta1"
"122","X122_R239_ND_Female_10",5015,500593,0,5.699485,13.1235485,7.1378407,4.7994094,11.051048,0,"beta1"
"123","X123_R239_ND_Female_10",5469,535866,0,5.7290564,13.191639,6.9630127,4.753054,10.944312,0,"beta1"
"124","X124_R239_ND_Female_1",5626,571176,0,5.75677,13.255452,6.819678,4.7185183,10.86479,0,"beta1"
"125","X125_R239_ND_Female_10",6179,736765,0,5.867329,13.510024,6.6860495,4.7710433,10.985733,0,"beta1"
"126","X126_R239_ND_Female_10",5762,576340,0,5.760679,13.264453,7.030381,4.8139343,11.084494,0,"beta1"
"127","X127_R239_ND_Female_10",5533,687490,0,5.8372664,13.440803,6.998667,4.876749,11.229129,0,"beta1"
"128","X128_R239_ND_Female_1",5733,562669,0,5.750253,13.240446,6.8618436,4.730314,10.891951,0,"beta1"
"129","X129_R240_T2D_Female_5",3043,472376,0,5.674288,13.06553,8.084231,5.1852245,11.939422,1,"beta2"
"130","X130_R240_T2D_Female_10",6252,1072139,0,6.030251,13.885166,7.5625563,5.3146276,12.237382,0,"beta1"
"131","X131_R240_T2D_Female_1",4579,1014764,0,6.006365,13.830167,7.2944093,5.174287,11.914236,0,"beta1"
"132","X132_R240_T2D_Female_5",5188,1413661,0,6.1503453,14.161694,7.200612,5.277531,12.151965,0,"beta1"
"133","X133_R240_T2D_Female_10",5913,1538915,0,6.187215,14.246589,7.6582913,5.5131683,12.694539,0,"beta1"
"134","X134_R240_T2D_Female_1",6845,1063311,0,6.0266604,13.876898,7.5418224,5.302032,12.20838,0,"beta1"
"135","X135_R240_T2D_Female_10",5500,665846,0,5.823374,13.408813,7.48796,5.0753536,11.686434,0,"beta1"
"136","X136_R240_T2D_Female_10",5560,929164,0,5.9680924,13.742041,7.47135,5.2128587,12.003051,0,"beta1"
"137","X137_R240_T2D_Female_5",4475,1085151,0,6.03549,13.89723,7.348027,5.226698,12.034917,0,"beta1"
"138","X138_R240_T2D_Female_1",4816,1182197,0,6.07269,13.982885,7.6982894,5.4160147,12.470834,1,"beta2"
"139","X139_R240_T2D_Female_5",5195,1131731,0,6.0537434,13.939259,7.2915893,5.2204404,12.020509,1,"beta2"
"140","X140_R240_T2D_Female_10",5501,1252192,0,6.097671,14.040406,7.2185163,5.2326326,12.048583,1,"beta2"
"141","X141_R240_T2D_Female_10",4817,902716,0,5.955551,13.713163,6.841163,4.9266305,11.343986,1,"beta2"
"142","X142_R240_T2D_Female_5",6132,1413204,0,6.1502047,14.16137,7.183096,5.2697835,12.134126,0,"beta1"
"143","X143_R240_T2D_Female_10",6167,952575,0,5.978899,13.766924,7.0719447,5.0502057,11.628529,0,"beta1"
"144","X144_R240_T2D_Female_10",6424,647457,0,5.811211,13.380807,7.4913177,5.064649,11.661785,1,"beta2"
"145","X145_R240_T2D_Female_5",3350,1129155,0,6.0527534,13.93698,7.690451,5.392674,12.417091,1,"beta2"
"146","X146_R240_T2D_Female_10",5011,1277028,0,6.1062,14.060046,6.7877355,5.0540767,11.637442,1,"beta2"
"147","X147_R240_T2D_Female_1",5617,797390,0,5.901671,13.589099,7.239634,5.045804,11.618394,1,"beta2"
"148","X148_R240_T2D_Female_10",2008,1229032,0,6.0895634,14.021737,7.2585125,5.241895,12.06991,1,"beta2"
"149","X149_R240_T2D_Female_1",6596,1151670,0,6.061328,13.956723,7.2213116,5.197504,11.967695,0,"beta1"
"150","X150_R240_T2D_Female_5",6220,1017533,0,6.0075483,13.832891,7.077401,5.081225,11.699953,1,"beta2"
"151","X151_R240_T2D_Female_10",4384,746340,0,5.8729367,13.522937,7.5101566,5.1345563,11.822754,1,"beta2"
"152","X152_R240_T2D_Female_1",8135,1502087,0,6.176695,14.222366,7.4315786,5.4041886,12.443604,0,"beta1"
"153","X153_R240_T2D_Female_1",3644,245691,0,5.3903894,12.41183,8.398219,5.037689,11.599709,1,"beta2"
"154","X154_R240_T2D_Female_1",4733,1536682,0,6.186584,14.245136,7.4214287,5.4096694,12.456224,1,"beta2"
"155","X155_R240_T2D_Female_5",5527,1060002,0,6.0253067,13.873781,7.4378543,5.2555256,12.101295,0,"beta1"
"156","X156_R240_T2D_Female_10",5766,935002,0,5.970813,13.748304,6.9329624,4.9817595,11.470926,1,"beta2"
